  3.000 -0.588  0.000  0.600  1.500  5.413  3.009 100000.  42375.  24991.  0.7678  0.6326 85.9563  3.000 0.00000 0.00000
  3.000 -0.576  0.000  0.600  1.500  5.288  3.000 100000.  41958.  24387.  0.7683  0.6404 85.8597  3.000 0.00000 0.00000
  3.000 -0.564  0.000  0.600  1.500  5.155  2.993 100000.  41569.  23741.  0.7687  0.6490 85.7477  3.000 0.00000 0.00000
  3.000 -0.552  0.000  0.600  1.500  5.013  2.982 100000.  41021.  23050.  0.7693  0.6587 85.6206  3.000 0.00000 0.00000
  3.000 -0.540  0.000  0.600  1.500  4.863  2.980 100000.  40445.  22288.  0.7698  0.6698 85.4882  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.540  1.500  4.163  3.212 100000.  28282.  19543.  0.7720  0.7153 90.9868  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.552  1.500  5.094  3.117 100000.  32434.  23445.  0.7690  0.6531 89.4712  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.564  1.500  5.737  3.040 100000.  40367.  26306.  0.7665  0.6166 87.0777  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.576  1.500  5.718  3.027 100000.  42697.  26362.  0.7666  0.6159 86.4071  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.588  1.500  5.634  3.017 100000.  42998.  26045.  0.7669  0.6196 86.2029  3.000 0.00000 0.00000
